,Population,oilEqpercapita,KWHpercapita
1,6758302523,1806.596927,2843.316034
2,6765190288,1803.950854,2839.562053
3,6772078054,1801.304782,2835.808071
4,6778965819,1798.658709,2832.05409
5,6785853584,1796.012637,2828.300109
6,6792741349,1793.366564,2824.546127
7,6799629115,1790.720492,2820.792146
8,6806516880,1788.074419,2817.038165
9,6813404645,1785.428346,2813.284183
10,6820292410,1782.782274,2809.530202
11,6827180176,1780.136201,2805.776221
12,6834067941,1777.490129,2802.022239
13,6840955706,1774.844056,2798.268258
14,6847849738,1780.993753,2811.476064
15,6854743769,1787.143451,2824.68387
16,6861637801,1793.293148,2837.891677
17,6868531832,1799.442846,2851.099483
18,6875425864,1805.592543,2864.307289
19,6882319896,1811.742241,2877.515095
20,6889213927,1817.891938,2890.722901
21,6896107959,1824.041635,2903.930707
22,6903001990,1830.191333,2917.138514
23,6909896022,1836.34103,2930.34632
24,6916790053,1842.490728,2943.554126
25,6923684085,1848.640425,2956.761932
26,6930619410,1849.520566,2962.146772
27,6937554736,1850.400707,2967.531612
28,6944490061,1851.280849,2972.916451
29,6951425386,1852.16099,2978.301291
30,6958360712,1853.041131,2983.686131
31,6965296037,1853.921272,2989.070971
32,6972231362,1854.801413,2994.45581
33,6979166688,1855.681554,2999.84065
34,6986102013,1856.561696,3005.22549
35,6993037338,1857.441837,3010.61033
36,6999972664,1858.321978,3015.995169
37,7006907989,1859.202119,3021.380009
38,7013786619,1860.052559,3023.532761
39,7020665249,1860.903,3025.685513
40,7027543880,1861.75344,3027.838265
41,7034422510,1862.60388,3029.991017
42,7041301140,1863.454321,3032.143769
43,7048179770,1864.304761,3034.296521
44,7055058400,1865.155201,3036.449273
45,7061937030,1866.005642,3038.602025
46,7068815661,1866.856082,3040.754777
47,7075694291,1867.706522,3042.907529
48,7082572921,1868.556963,3045.060281
49,7089451551,1869.407403,3047.213033
50,7096671604,1871.480093,3051.977132
51,7103891658,1873.552782,3056.741232
52,7111111711,1875.625472,3061.505331
53,7118331765,1877.698161,3066.26943
54,7125551818,1879.770851,3071.033529
55,7132771872,1881.843541,3075.797629
56,7139991925,1883.91623,3080.561728
57,7147211978,1885.98892,3085.325827
58,7154432032,1888.061609,3090.089926
59,7161652085,1890.134299,3094.854026
60,7168872139,1892.206988,3099.618125
61,7176092192,1894.082259,3104.042084
62,7183149533,1895.778913,3108.150187
63,7190206873,1897.313965,3111.964986
64,7197264214,1898.702806,3115.507422
65,7204321554,1899.959363,3118.79694
66,7211378895,1901.096236,3121.851598
67,7218436235,1902.124824,3124.688163
68,7225493576,1903.055441,3127.322208
69,7232550916,1903.897418,3129.768191
70,7239608257,1904.6592,3132.039539
71,7246665597,1905.348423,3134.148721
72,7253722938,1905.971998,3136.107314
73,7260780278,1906.53618,3137.926071
74,7267934675,1907.046625,3139.614975
75,7275089071,1907.50845,3141.183297
76,7282243468,1907.926288,3142.639646
77,7289397864,1908.304328,3143.992016
78,7296552261,1908.64636,3145.247833
79,7303706658,1908.955814,3146.413988
80,7310861054,1909.235793,3147.496883
81,7318015451,1909.489105,3148.502464
82,7325169847,1909.71829,3149.43625
83,7332324244,1909.925645,3150.303366
84,7339478640,1910.11325,3151.108574
85,7346633037,1910.282986,3151.856292
86,7353787434,1910.436555,3152.550626
87,7360941830,1910.575497,3153.195387
88,7368096227,1910.701205,3153.794114
89,7375250623,1910.814939,3154.350094
90,7382405020,1910.917841,3154.86638
91,7389559417,1911.010941,3155.345804
92,7396713813,1911.095174,3155.790998
93,7403868210,1911.171384,3156.204408
94,7411022606,1911.240335,3156.588301
95,7418177003,1911.302718,3156.944786
96,7425331399,1911.35916,3157.275819
97,7432485796,1911.410226,3157.583218
98,7439640193,1911.456427,3157.868669
99,7446794589,1911.498229,3158.13374
100,7453948986,1911.536048,3158.379886
101,7461103382,1911.570266,3158.608458
102,7468257779,1911.601224,3158.82071
103,7475412176,1911.629234,3159.017809
104,7482566572,1911.654575,3159.200835
105,7489720969,1911.677503,3159.370794
106,7496875365,1911.698247,3159.528618
107,7504029762,1911.717016,3159.675175
108,7511184158,1911.733996,3159.811267
109,7518338555,1911.74936,3159.937643
110,7525492952,1911.76326,3160.054997
111,7532647348,1911.775836,3160.163972
